book_name,book_author,book_author_link,book_name_link,edit_status,book_category,book_tags,book_total_words,book_count_recommends,book_total_clicks,book_summary,book_catalogue_link
神仙监护人,楼十三,http://home.zongheng.com/show/userInfo/24677555.html,http://book.zongheng.com/book/1215217.html,连载中,都市娱乐,"搞笑,爽文,生活,法宝",302000,130000,18260000,“我就是个凡人，为什么要操心神仙的事情，这不是犯贱吗？”顾不得给红孩儿那不及格的试卷上签字，也不想理会，欠下网贷的九天玄女，要赶去传销窝点，把太上老君捞出来。范剑仰天长啸，满脸泪痕，他太累了，想辞职。不知道天庭有没有劳动仲裁，他要维权！,http://book.zongheng.com/showchapter/1215217.html
斗罗大陆V重生唐三,唐家三少,http://home.zongheng.com/show/userInfo/53852191.html,http://book.zongheng.com/book/1217041.html,连载中,奇幻玄幻,"热血,异世,重生",1940000,2070000,177000,一代神王唐三，带着一点神识在宇宙中遨游，寻找妻子转世重生的世界。在神识的牵引下，他来到了一个叫做妖精大陆的地方，而他却发现，这是一个人类为刍狗的世界……,http://book.zongheng.com/showchapter/1217041.html
直播修真：RPG游戏系统,百叶琳,http://home.zongheng.com/show/userInfo/52894973.html,http://book.zongheng.com/book/1214081.html,连载中,奇幻玄幻,修真,96000,1100000,10860000,科技修仙，全民进入修真网络时代，只是我们主角的网络稍微有些不同……“为毛我的修真网络是款RPG游戏啊！”签到充值、打怪升级、强化装备，究竟是生死存亡的修仙长路？还是轻松愉快的游戏日常？,http://book.zongheng.com/showchapter/1214081.html
六合八荒逍遥游,木头疼,http://home.zongheng.com/show/userInfo/53746532.html,http://book.zongheng.com/book/1203620.html,连载中,武侠仙侠,"热血,爽文,浪子,升级",318000,0,14470000,“千机门下千机子，问道峰上问道人，大马金刀座上峰，朱雀玄衣宇内风。”一曲歌谣在争强的江湖盘桓多年，然，江山代有才人出。“金剑大刀翠竹琴，名枷利锁青面狐，玉面书生千机子，黑袍魔君一浪子。”新曲渐生。只不过这本是群雄并起，仙凡争锋的波澜壮阔的史诗，偏生有一浪子霸占一席之地，却又格格不入，画风都变了！,http://book.zongheng.com/showchapter/1203620.html
看我不爽你来打我啊,老树的风,http://home.zongheng.com/show/userInfo/51973093.html,http://book.zongheng.com/book/1215532.html,连载中,科幻游戏,"爽文,末世,系统,热血",160000,130000,4170000,天空被撕裂，黑洞猛然涌出，红雾不断覆盖，世界不再是以前那个世界，秩序一个个的崩塌，是同流合污还是独自清醒……,http://book.zongheng.com/showchapter/1215532.html
玄学大学,定神君,http://home.zongheng.com/show/userInfo/15097931.html,http://book.zongheng.com/book/1208074.html,连载中,都市娱乐,"学术,研究",166000,250000,3870000,帅气的赵启学，以省状元的身份考入大学，组建社团，汇聚一群学子，以自己的学识对社会上各个问题进行分析，并提出可行的方案，引导人们积极向善。,http://book.zongheng.com/showchapter/1208074.html
夺冕,夜雨离风,http://home.zongheng.com/show/userInfo/53432563.html,http://book.zongheng.com/book/1178174.html,连载中,历史军事,"热血,战争,权谋,争霸",461000,540000,14000,前朝末年，老皇帝病入膏肓，宦官把持朝政，排除异己，滥杀忠良。朝廷吏治腐败，贪官四起，搜刮民脂民膏，害民虐庶。又逢北方四州大旱，各地民不聊生，皆有反意。独孤世家，崛起于东北府州之地，驱北狄于极西，军势正盛，家主独孤离遂以“清君侧”的名义，兵起府州，剑指帝都，一路势如破竹，斩佞臣，烧皇宫，夺得大宝，万物更新，上应天意，建立新朝。然而，表面和平的政权下暗流涌动，晓雾将歇，猿鸟乱鸣；夕日欲颓，沉鳞竞跃。十余年后，独孤离暴毙而亡，朝中势力相互倾轧，朝外前朝余孽蛰伏西北待卷土重来，四大亲王坐镇四方对王座虎视眈眈，表面安宁的世间随着太子遇袭悄然改变。……风云幽州，金蝉脱壳，遇北府良将；东去寻迷，假痴不癫，结金玉良缘。传承世家，反客为主，望只争朝夕；酌酒倾觞，瞒天过海，愿不负华年。波澜壮阔的战争，铁骑横流的战场，名将辈出的年代，流落人间的太子如何在各方势力的角逐之中夺回帝位？,http://book.zongheng.com/showchapter/1178174.html
天狐王传说,千年狐王,http://home.zongheng.com/show/userInfo/52430666.html,http://book.zongheng.com/book/1005241.html,连载中,奇幻玄幻,"魔兽,玄幻,升级,热血",355000,16090000,41510000,苍渺大陆，这里没有武魂，没有斗气，也没有魔法。但在这片大陆上，却每个人从出生开始都可能拥有先天灵力，甚至有些人更是拥有特殊的体质。天狐族少主满月之日，这一天，天狐族却突然遭遇巨大的变故几乎灭族，天狐族族长拼死助天狐族第一强者及天狐族少主离去。十八年后，叔侄二人复出，欲召集残存族人联合豹魔族报血海深仇。但却意外得知一切皆是龙族的阴谋。且看他如何拯救苍渺大陆，证道万界星空，成为一代狐王！,http://book.zongheng.com/showchapter/1005241.html
我的地狱厨房,忧说,http://home.zongheng.com/show/userInfo/53636786.html,http://book.zongheng.com/book/1204334.html,连载中,二次元,"爽文,穿越,升级,争霸",451000,1220000,47640000,好吃的味道，不一定适合大众口味；淋漓的鲜血，有时更讨野蛮喜欢。万物食为天，万界入食道！这里是地狱厨房，竭诚为每一位顾客，递交一份满足！——而故事的一开始，被迫打工还债的徐生，成为了地狱厨房里的一名低级学徒……,http://book.zongheng.com/showchapter/1204334.html
妙手神农,夜猛,http://home.zongheng.com/show/userInfo/11450172.html,http://book.zongheng.com/book/674211.html,连载中,都市娱乐,"热血,爽文,扮猪吃虎,搞笑",13089000,25000,1113000,古老的东方，生活着龙的传人，千万年来，龙的传人坚信龙的存在，我们一起期待，获得龙珠的余飞，如何从小农民起步，阅尽天下美女，拳打装逼犯，脚蹬二世祖，玩转世界各国，让我泱泱中华腾飞而起，屹立于世界之巅，壮哉我中华之龙！,http://book.zongheng.com/showchapter/674211.html
